rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,tipo_evento
QUENCORO_N,1858863,0,1395920,53393956,0,3,5,1
QUENCORO_N,1855926,10,1394226,53259105,0,30,7,1
QUENCORO_N,1853216,0,1391624,52726798,0,3,2,1
REQUE,1847191,0,1386280,57692708,0,3,1,1
SOCABAYA_N,1846886,0,1386172,61263978,0,3,1,1
QUENCORO_N,1845159,0,1385660,52517429,0,7,1,1
REQUE,1844878,0,1385120,56837831,0,43,1,1
SOCABAYA_N,1844356,49,1385136,59793863,0,1,59,1
QUENCORO_N,1844214,0,1385130,52235412,0,5,4,1
QUENCORO_N,1839825,1,1381562,52308171,0,3,2,1
QUENCORO_N,1832905,1,1376452,52338408,0,3,7,1
REQUE,1828799,0,1372520,56742442,0,3,2,1
QUENCORO_N,1822859,1,1369094,52148761,0,7,7,1
QUENCORO_N,1821780,6,1368312,52776734,0,22,8,1
REQUE,1819134,0,1365302,55947963,0,3,2,1
QUENCORO_N,1818017,0,1365090,51451284,0,5,1,1
REQUE,1816112,0,1363000,56166789,0,3,1,1
QUENCORO_N,1813087,1,1361588,51706470,0,5,3,1
SOCABAYA_N,1812956,1,1360828,60655119,0,5,6,1
QUENCORO_N,1812439,0,1361056,50729474,0,3,1,1
QUENCORO_N,1811357,0,1360314,51083376,0,5,1,1
SOCABAYA_N,1809856,0,1358398,60732010,0,3,1,1
CHICLAYO_N,1807907,0,1357018,63969898,0,3,1,1
QUENCORO_N,1807379,1,1357284,51865626,0,5,7,1
SOCABAYA_N,1806648,0,1356286,60219330,0,5,17,1
QUENCORO_N,1805947,1,1356300,51719760,0,3,9,1
QUENCORO_N,1805739,0,1356018,51312433,0,3,3,1
QUENCORO_N,1796828,3,1349548,50923659,0,11,2,1
QUENCORO_N,1793354,2,1347110,51083766,0,8,9,1
QUENCORO_N,1791629,3,1345634,51293154,0,5,10,1
HUANCAVEL_N,1790713,0,1344038,49499069,0,4,1,1
QUENCORO_N,1789746,0,1344080,50739259,0,3,2,1
QUENCORO_N,1783285,0,1339202,52118483,0,3,8,1
QUENCORO_N,1783235,2,1339378,51628878,0,3,13,1
QUENCORO_N,1781863,0,1338224,51372353,0,5,6,1
SOCABAYA_N,1780141,2,1337710,59923669,0,3,55,2
CHICLAYO_N,1778563,0,1334968,63064657,0,3,1,1
QUENCORO_N,1777893,4,1335532,51473823,0,13,13,1
SANROS_N,1771166,0,1329440,51942536,0,7,1,1
SANROS_N,1770744,0,1329072,51975914,0,5,1,1
QUENCORO_N,1770122,1,1329354,50572407,0,4,5,1
QUENCORO_N,1765747,0,1326358,50842526,0,3,13,1
REQUE,1762030,0,1322492,54324270,0,3,2,1
QUENCORO_N,1760574,1,1322258,50939962,0,9,5,1
QUENCORO_N,1759861,3,1321816,50637307,0,8,12,1
SANROS_N,1759459,0,1320592,52058006,0,6,1,1
QUENCORO_N,1756118,1,1318782,49659111,0,5,1,1
MANTARO_N,1754767,22,1317214,66381914,0,4,60,1
SANROS_N,1751436,0,1314598,51408539,0,6,1,1
QUENCORO_N,1747685,1,1312446,49631662,0,4,2,1
REQUE,1747602,0,1311628,54169449,0,3,1,1
QUENCORO_N,1746961,1,1311908,49330615,0,3,2,1
QUENCORO_N,1745133,1,1310656,50025066,0,3,7,1
REQUE,1744006,0,1308962,54036687,0,3,2,1
CHICLAYO_N,1742790,0,1308630,61681664,0,41,1,1
QUENCORO_N,1741284,0,1307784,50030021,0,3,9,1
REQUE,1739920,0,1305862,53233318,0,3,1,1
QUENCORO_N,1739716,1,1306612,49284779,0,5,5,1
QUENCORO_N,1739430,1,1306344,49151235,0,6,3,1
