01/16/21 18:19:00 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:00   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            RETORNO A NORMAL                              66.1       4

01/16/21 18:19:07 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:07   01033075 OROYA NUEVA 220                   L-2224 FP1 ERR SYNC TIME         CAMBIO DE ESTADO                          INACTIVO       7

01/16/21 18:19:10 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:10   03065014 MOLLEPATA 220                     BARRA TENSION                    RETORNO A NORMAL                             230.8       4

01/16/21 18:19:14 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:14   01071855 LA_BREA 66                        L-6769 PL1 79 ORDEN RECIERRE     RETORNO A NORMAL                          INACTIVO       2

01/16/21 18:19:16 rep1sca01 osi_alarm_check[2750]: rep1sca01   OSI_SYSTEM      AUTO-ACK:RTN    01/16/21 18:19:16   01071855 LA_BREA 66                        L-6769 PL1 79 ORDEN RECIERRE     CAMBIO DE ESTADO                          ACTIVO         2

01/16/21 18:19:18 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:18   01071856 LA_BREA 66                        L-6769 PL1 79 RECIERRE EFECT     RETORNO A NORMAL                          INACTIVO       2

01/16/21 18:19:18 rep1sca01 scada_alarm[2783]: rep1sca01   OSI_SYSTEM      AUTO-ACK:CLASS  01/16/21 18:19:18   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            RETORNO A NORMAL                              66.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03065014 MOLLEPATA 220                     BARRA TENSION                    LIMITE SUPERIOR 1 EXCEDIDO                   231.2       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   01009197 TOCACHE 138                       BARRA_A FLL INT RELE PROT        CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            LIMITE INFERIOR 1 EXCEDIDO                    66.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            LIMITE INFERIOR 1 EXCEDIDO                    66.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   01030F42 PARIÑAS 220                       L-2168 PL1 25 DV EXCEDIDO       CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03065014 MOLLEPATA 220                     BARRA TENSION                    LIMITE SUPERIOR 1 EXCEDIDO                   231.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            LIMITE INFERIOR 1 EXCEDIDO                    66.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   01030A22 PARIÑAS 220                      R-27 UAD FLL SYNC BAHIA          CAMBIO DE ESTADO                          ACTIVO         2

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03080098 PARAMO NUE 66                     T113-261 TENSION V-TR            LIMITE INFERIOR 1 EXCEDIDO                    66.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   02030100 PARIÑAS 220                      R-27 IN-2760                     CAMBIO DE ESTADO                          ABIERTO        1

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   41080002 PARAMO NUE 220                    T10-216 SUBIR-BAJAR TAP          CONTROL FALLIDO                          LOWER           6

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03080032 PARAMO NUE 220                    R-8 POT REACTIVA                 LIMITE SUPERIOR 1 EXCEDIDO                    42.4       2

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03011F85 AZANGARO 22.9                     B1 TENSION                       LIMITE INFERIOR 2 EXCEDIDO                    22.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   41080002 PARAMO NUE 220                    T10-216 SUBIR-BAJAR TAP          CONTROL FALLIDO                          LOWER           6

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   01072D41 ABANCAY_NVA_220                   AT90-212 FIRE DET TRIP           CAMBIO DE ESTADO                          ACTIVO         3

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03031586 TRUJILL NVA 220                   ACP CORRIENTE                    MEDIDA CONGELADA                               0.1       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03061529 ICA 10                            T112-261 TENSION V-ST            LIMITE SUPERIOR 1 EXCEDIDO                    10.6       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03042048 HUANCAVEL 10                      T9-261 PL3 TENSION V-RS          LIMITE SUPERIOR 1 EXCEDIDO                    10.3       4

01/16/21 18:19:25 rep1sca01 [2847]:             gramirez        ACKNOWLEDGED    01/16/21 18:19:25   03011F85 AZANGARO 22.9                     B1 TENSION                       LIMITE INFERIOR 2 EXCEDIDO                    22.1       4
