id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_periodic,scan_type_idle,scan_type_command,scan_type_init,scan_type_spont,enviados,fallidos,alarmas,duracion_int,tipo_evento
44262CHICLAYO_N,1671613,0,1254750,58703169,24,0,3,0,1671586,8,4,0,0,2
44262TRUJILLO_N,3149928,1,2364792,95764560,24,0,14,5,3149886,10,2,0,0,2
44263TOCACHE_N,875096,3,658010,23973182,24,0,11,0,875064,4,1,0,0,2
44263HUACHO,111401,305,562105,6876996,0,111596,110,0,0,35,6,1,4,1
44263TRUJILLNUEV,140434,1431,718695,12278742,0,141860,5,0,0,2,2,0,0,2
44263LANINA_N,2705681,1,2031166,80269908,24,0,8,0,2705650,3,3,0,0,2
44263AUCAYACU_N,562129,0,422280,19876942,24,0,3,0,562102,3,1,0,0,2
44263GUADALUPE_N,1480394,6,1113542,41244473,24,0,140,0,1480236,51,3,0,0,2
44263PARAGSHA_NVA,184236,329,924840,9071189,0,184550,12,3,0,13,13,2,60,2
44263PIURA2_N,3824854,0,2870498,113306971,24,0,35,0,3824795,21,19,1,2,2
44263PLANICIE,205033,256,1027770,6736512,0,205286,3,0,0,36,3,2,10,1
44263ICA,154379,91,773500,12753430,0,154464,6,0,0,8,8,0,0,2
44263CARAPONGO,714711,0,536662,31772284,24,0,16,0,714671,3,2,0,0,2
44263CHIMBOTENVA_N,699621,0,525534,19245685,24,0,6,0,699591,6,2,0,0,2
44263INDEPE_N,892873,0,669998,36974038,0,0,3,11,892859,37,13,8,3696,1
44263LA_BREA,1090486,0,818556,33849808,24,0,3,0,1090459,13,1,0,0,2
44263CHAVARRIA_N,828272,4,622472,23413569,24,0,11,0,828241,16,4,1,6,1
44263AGUAYTIA_N,454389,0,341648,94814029,24,0,5,0,454360,4,3,6,614,1
44263PARAMONGA_N,2471369,1,1855712,70600456,25,0,52,1,2471292,68,13,0,0,2
44263TRUJILLO_N,3216297,0,2414134,101370389,24,0,13,0,3216260,29,12,0,0,2
44263PAPUJUNE,58169,0,24106,3730457,24,0,23,2,58120,9,1,0,0,2
44263SOCABAYA_REP_N,509506,0,382968,14075477,24,0,9,0,509473,6,1,0,0,2
44264VENTANILLA,203681,304,1021885,6201588,0,203950,35,0,0,15,1,1,1,1
44264SOCABAYA_N,1938243,0,1454652,62854468,24,0,3,0,1938216,2,2,0,0,2
44264TRUJILLNUEV,154221,1350,785820,10115611,0,155566,5,0,0,1,1,0,0,2
44264LANINA_N,2517809,0,1890120,74317401,24,0,6,0,2517779,2,2,1,2,2
44264MARCONA,5678420,0,4259928,214967606,24,0,3,0,5678393,2,2,1,984,1
44264GUADALUPE_N,1391532,0,1046286,38769026,24,0,111,0,1391397,46,3,0,0,2
44264PARAGSHA_NVA,183534,434,922565,9075117,0,183952,16,0,0,4,4,6,188,2
44264PIURA2_N,3694159,0,2772426,109314295,24,0,26,1,3694108,53,54,1,19,1
44264PLANICIE,204891,300,1031175,6613477,0,205144,43,4,0,38,3,0,0,2
44264CARAPONGO,674979,1,506776,30496934,24,0,11,0,674945,4,2,1,120,2
44264CHIMBOTENVA_N,548201,0,412020,14998968,24,0,9,0,548168,5,3,1,218,2
44264INDEPE_N,835974,0,627582,35923847,0,0,15,12,835947,11,6,14,3115,2
44264CHAVARRIA_N,881106,6,662442,24983443,24,0,24,0,881064,16,4,0,0,2
44264PUCALLPA_N,192078,9,145084,38215994,24,0,12,5,192046,1,1,0,0,2
44264AGUAYTIA_N,385489,0,290476,79779779,24,0,12,13,385440,1,1,8,6936,1
44264PARAMONGA_N,2359460,0,1773256,66767754,24,0,154,0,2359282,25,8,0,0,2
44264PAPUJUNE,74823,0,45042,4434373,24,0,24,0,74775,20,6,80,6072,2
44265TRUJILLNUEV,148872,1357,759430,11031088,0,150225,4,0,0,4,4,0,0,2
44265LANINA_N,2550081,0,1914444,75468901,24,0,5,1,2550051,2,2,0,0,2
44265MARCONA,5315843,0,3988006,208875690,24,0,5,2,5315812,0,1,0,0,2
44265PARAGSHA_NVA,183539,433,922365,9034973,0,183941,7,24,0,3,3,6,246,2
44265PIURA2_N,3638606,0,2731334,107811037,24,0,64,4,3638514,50,53,0,0,2
44265ICA,157611,104,789710,12240876,0,157712,3,0,0,21,21,0,0,2
44265CARAPONGO,673096,0,505300,29514125,24,0,6,1,673065,2,2,0,0,2
44265CHIMBOTENVA_N,656433,3,493280,18012280,24,0,14,3,656395,3,1,0,0,2
44265INDEPE_N,859736,0,645290,37322332,0,0,7,13,859716,40,21,18,2645,1
44265AGUAYTIA_N,147775,0,112340,28624966,22,0,5,23,147725,2,2,11,4446,1
44265PARAMONGA_N,2348857,0,1763830,66432840,24,0,61,0,2348772,21,2,0,0,2
44265SOCABAYA_REP_N,535046,0,402148,15227855,24,0,3,4,535015,10,7,0,0,2
44266TRUJILLNUEV,148936,1355,760045,11086227,0,150284,7,0,0,4,3,0,0,2
44266LANINA_N,2558762,0,1920818,75686532,24,0,5,0,2558733,9,3,0,0,2
44266JULIACA_N,158624,0,119784,6073123,24,0,3,0,158597,14,14,0,0,2
44266MARCONA,5597167,0,4198978,214149277,24,0,4,0,5597139,6,3,0,0,2
44266CARHUAMAYO,111693,228,560855,5174730,0,111897,4,20,0,15,2,0,0,2
44266PIURA2_N,3595809,0,2699194,106643347,24,0,61,0,3595724,54,54,0,0,2
44266ICA,160488,96,805845,11830156,0,160560,24,0,0,27,27,1,18,2
44266INDEPE_N,810350,0,608346,36322781,0,0,22,8,810320,16,8,13,11781,2
44266AGUAYTIA_N,150752,0,114852,28992743,22,0,7,31,150692,1,1,25,3456,1
44266PARAMONGA_N,2359804,0,1771944,66702609,24,0,51,0,2359729,40,13,0,0,2
44266SOCABAYA_REP_N,486985,0,366170,13407314,23,0,7,8,486947,5,1,0,0,2
44267CVERDE,135664,3,678400,5665943,0,135664,3,0,0,4,4,2,4,2
44267LANINA_N,2483547,0,1864572,73214140,24,0,12,0,2483511,7,1,0,0,2
44267PIURA2_N,3199845,0,2402262,92598546,24,0,63,0,3199758,30,31,0,0,2
44267ICA,160703,88,805475,12348616,0,160755,33,3,0,21,21,1,2,2
44267CARAPONGO,646798,0,485518,30063646,24,0,3,1,646770,4,4,1,4,2
44267CHIMBOTENVA_N,604541,0,454226,16561430,24,0,5,0,604512,3,1,0,0,2
44267INDEPE_N,784181,0,588612,37606140,0,0,11,13,784157,28,14,18,1267,1
44267PARAMONGA_N,2365024,0,1776330,66915104,24,0,84,0,2364916,45,16,0,0,2
44267SOCABAYA_REP_N,522385,0,392616,14350896,24,0,9,0,522352,3,2,0,0,2
44268TRUJILLNUEV,159174,1295,809635,9059188,0,160464,3,2,0,3,3,0,0,2
44268LANINA_N,2350453,0,1764776,68965301,24,0,10,1,2350418,3,3,1,56,2
44268MARCONA,5543427,0,4158688,213133750,24,0,3,1,5543399,1,1,0,0,2
44268GUADALUPE_N,1270653,1,954314,35418864,22,0,4,7,1270621,59,6,3,214,1
44268HUANUCO_N,1314634,0,987212,35727266,24,0,4,1,1314605,3,1,0,0,2
44268PIURA2_N,2931912,0,2201036,83163856,24,0,37,1,2931850,52,49,4,229,1
44268MOQUEGUA_N,30670,0,1330,2199076,24,0,3,1,30642,10,2,13,2930,2
44268ICA,166456,78,833390,12109205,0,166508,24,2,0,21,21,0,0,2
44268CARAPONGO,684000,0,513482,30778197,24,0,7,1,683968,3,2,7,853,2
44268CHIMBOTENVA_N,442057,0,332410,12039514,24,0,6,1,442026,11,4,4,266,2
44268INDEPE_N,888818,0,667088,41975315,0,0,17,9,888792,77,44,26,4461,2
44268PARAMONGA_N,2059176,0,1547092,57682986,24,0,93,1,2059058,24,10,1,56,1
44268CHICLAYO_N,1370035,0,1028566,46607818,24,0,3,1,1370007,27,10,18,942,2
44268TRUJILLO_N,2726143,0,2046494,84926044,24,0,4,1,2726114,7,4,11,518,1
44269SANNICOLAS,69767,29474,496340,1772858,0,99238,3,0,0,3,3,1,18,1
44269LANINA_N,2350896,0,1764904,69406574,24,0,6,1,2350865,2,2,0,0,2
44269YARABAMBA,4113946,0,3086640,211296398,24,0,3,0,4113919,1,1,0,0,2
44269MARCONA,5599471,0,4200734,214156085,24,0,5,0,5599442,3,1,0,0,2
44269PARAGSHA_NVA,182253,375,915345,8986256,0,182625,3,0,0,3,3,1,52,2
44269PIURA2_N,2722990,0,2044774,78261433,24,0,58,6,2722902,19,18,1,71,1
44269TINGOM_ETS_N,417960,0,314482,31911394,24,0,4,0,417932,14,6,0,0,2
44269SANJUAN_N,938686,0,705764,26000888,24,0,5,0,938657,60,1,0,0,2
44269INDEPE_N,1100772,0,826966,55835530,0,0,61,18,1100693,13,9,38,11660,2
44269CHAVARRIA_N,923454,0,693802,26337330,24,0,7,0,923423,11,3,1,6,1
44269PUCALLPA_N,191606,0,144552,38378065,24,0,3,0,191579,31,10,1,90,2
44269AGUAYTIA_N,143017,0,108762,26164120,24,0,5,22,142966,35,24,5,3646,2
44269PARAMONGA_N,1929585,0,1449248,54286847,24,0,49,1,1929511,42,5,0,0,2
44269CHICLAYO_N,1293066,4,972200,44742754,24,0,57,37,1292952,72,30,4,222,1
44270HUACHO,119679,156,600145,6299662,0,119832,3,0,0,46,14,9,361,2
44270SANNICOLAS,72134,28174,501665,1726623,0,100302,3,3,0,3,2,2,20,1
44270SOCABAYA_N,1933062,0,1450806,62786268,24,0,3,0,1933035,20,15,2,10,1
44270TRUJILLNUEV,155074,1324,789760,9713132,0,156395,3,0,0,3,3,0,0,2
44270LANINA_N,2396056,0,1798622,70865841,24,0,5,0,2396027,3,3,0,0,2
44270MARCONA,5629433,0,4223276,214521751,24,0,8,0,5629401,4,1,0,0,2
44270PARAGSHA_NVA,181761,359,912650,8940900,0,182114,6,0,0,3,3,1,28,2
44270PIURA2_N,2655425,0,1993358,75073188,24,0,25,1,2655375,40,39,4,166,1
44270ICA,165052,64,827585,12415960,0,165105,11,0,0,12,12,1,40,2
44270CARAPONGO,669671,0,502922,29442103,24,0,9,11,669627,8,6,0,0,2
44270CHIMBOTENVA_N,478407,2,359992,13119063,24,0,7,17,478361,12,6,0,0,2
44270INDEPE_N,1178404,8,885934,61560409,0,0,68,52,1178292,15,15,9,9096,2
44270AGUAYTIA_N,108409,4,83358,18202416,22,0,83,10,108298,2,2,0,0,2
44270PARAMONGA_N,1916376,0,1439832,53401738,24,0,87,0,1916265,23,11,0,0,2
44271VENTANILLA,199964,311,1003520,6646062,0,200235,40,0,0,41,1,1,4,1
44271SOCABAYA_N,1941474,0,1457394,62970135,24,0,23,1,1941426,21,16,4,34643,2
44271TRUJILLNUEV,145251,1377,741740,11455809,0,146622,6,0,0,5,5,1,12,2
44271LANINA_N,2543403,0,1909158,75705332,24,0,6,0,2543373,6,6,1,460,2
44271PIURA2_N,3431705,1,2576458,100524730,24,0,50,9,3431623,39,40,12,11464,2
44271ICA,154531,95,774055,12859316,0,154596,28,2,0,12,12,1,34091,2
44271CHIMBOTENVA_N,698196,3,524622,19236444,24,0,21,0,698154,2,2,1,74,2
44271INDEPE_N,1155027,1,867582,71820655,0,0,27,37,1154964,20,19,0,0,2
44271ABANCAY,1707184,0,1281510,47456534,24,0,3,0,1707157,1,1,0,0,2
44271AGUAYTIA_N,146565,0,110830,27479270,24,0,7,0,146534,2,2,12,1193,1
44271PARAMONGA_N,2350158,0,1764670,66708125,24,0,46,0,2350088,17,8,1,458,1
44272ZAPALLAL,236326,754,1186080,2404638,0,237065,13,2,0,10,1,0,0,2
44272HUACHO,117901,177,591585,6316550,0,118073,3,2,0,13,5,2,14,1
44272TRUJILLNUEV,148134,1368,756940,10876296,0,149489,9,4,0,7,7,0,0,2
44272LANINA_N,2480527,0,1862286,73666210,23,0,9,4,2480491,24,6,1,168,2
44272YARABAMBA,4095780,0,3073088,211398031,24,0,4,1,4095751,2,2,0,0,2
44272MARCONA,5552394,0,4165470,213697655,24,0,5,1,5552364,2,1,0,0,2
44272PARAGSHA_NVA,183162,381,919910,8973753,0,183538,3,2,0,3,3,1,26,2
44272PIURA2_N,2633817,0,1978450,75287220,21,0,46,21,2633729,32,24,0,0,2
44272SANJUAN_N,888761,5,668730,24723137,24,0,3,10,888729,63,1,1,76,2
44272ICA,159676,67,801380,12758965,0,159725,16,2,0,6,6,1,202,2
44272MOLLEPATA,2199817,0,1650934,63105323,24,0,3,1,2199789,7,7,0,0,2
44272CARAPONGO,687224,0,515886,32062719,24,0,3,3,687194,8,6,0,0,2
44272CHIMBOTENVA_N,689950,2,518326,18994812,24,0,9,3,689916,9,5,0,0,2
44272INDEPE_N,1326086,1,994972,91961102,0,0,25,1,1326061,24,23,0,0,2
44272AGUAYTIA_N,133316,2,101516,24318374,24,0,8,30,133256,1,1,8,4112,2
44272PARAMONGA_N,2370961,0,1780340,67034798,24,0,37,4,2370896,34,10,0,0,2
44272SOCABAYA_REP_N,688698,0,517954,19659547,25,0,26,16,688631,22,6,0,0,2
44273CVERDE,134965,65,675385,5582882,0,135028,2,0,0,4,3,0,0,2
44273ZAPALLAL,235701,726,1183050,2390974,0,236415,12,0,0,10,1,0,0,2
44273CHILCA1,208426,30,1042960,7215413,0,208442,14,0,0,49,8,0,0,2
44273HUACHO,120901,191,606880,6174573,0,121057,28,7,0,6,1,1,8,1
44273TRUJILLNUEV,148579,1349,757965,10879979,0,149919,9,0,0,2,2,0,0,2
44273LANINA_N,2521630,1,1893344,74360094,25,0,26,2,2521578,8,8,0,0,2
44273HUANUCO_N,1345370,0,1010196,36532452,24,0,2,1,1345343,3,1,0,0,2
44273PIURA2_N,3241548,0,2433110,92985736,24,0,35,0,3241489,21,18,0,0,2
44273ICA,159933,67,802710,12988372,0,159990,7,3,0,3,3,0,0,2
44273CARAPONGO,696352,0,522778,31741922,24,0,10,0,696318,8,4,0,0,2
44273INDEPE_N,1342994,5,1007974,94247184,0,0,54,0,1342945,18,17,2,76,1
44273AGUAYTIA_N,136228,0,103584,25127829,23,0,4,21,136180,4,4,4,224,2
44273PARAMONGA_N,2402984,0,1804510,67921836,24,0,70,0,2402890,7,3,0,0,2
44274AZANGARO,204135,304,1023715,2201289,0,204436,3,0,0,3,2,1,2,1
44274CHILCA1,208812,38,1048620,7098641,0,208776,74,0,0,6,1,1,8,2
44274TRUJILLNUEV,151946,1348,774320,10282655,0,153292,2,0,0,5,5,1,2,2
44274LANINA_N,2470285,0,1854374,72932340,24,0,8,0,2470253,4,4,0,0,2
44274MARCONA,5665355,0,4250028,214833837,24,0,0,0,5665331,4,4,0,0,2
44274HUANUCO_N,1319169,0,990438,35817601,24,0,3,0,1319142,3,1,1,2,1
44274PIURA2_N,2993202,0,2246808,85023134,24,0,23,4,2993151,37,35,0,0,2
44274ICA,160530,112,803795,12797237,0,160639,3,0,0,12,12,1,12,2
44274CARAPONGO,641631,0,481706,26320112,24,0,8,0,641599,3,2,1,2,2
44274CHIMBOTENVA_N,532438,0,400090,14560062,25,0,2,1,532410,5,5,0,0,2
44274INDEPE_N,1324930,0,994170,93753137,0,0,23,4,1324903,7,7,1,34,1
44274LA_BREA,668715,0,502352,19268590,24,0,0,8,668683,4,4,2,86,1
44274PARAMONGA_N,2377224,0,1784442,67370109,24,0,18,0,2377182,18,8,0,0,2
44275CVERDE,142511,2,712635,5771034,0,142509,2,2,0,1,1,0,0,2
44275CHILCA1,209759,27,1049520,7054262,0,209770,14,2,0,54,5,0,0,2
44275COLCABAMBA,2514541,0,1886958,80235337,24,0,2,1,2514514,1,1,0,0,2
44275TRUJILLNUEV,157891,1289,803715,9369239,0,159166,12,2,0,10,10,0,0,2
44275YARABAMBA,4113875,0,3086562,212003420,24,0,2,1,4113848,8,7,0,0,2
44275MARCONA,5606842,0,4206262,214002949,24,0,6,1,5606811,8,6,0,0,2
44275PARAGSHA_NVA,185517,370,931545,8871922,0,185874,2,11,0,3,3,6,144,2
44275HUANUCO_N,1293581,0,971388,35268224,24,0,5,1,1293551,3,1,0,0,2
44275PIURA2_N,2770875,0,2080396,77806471,24,0,42,1,2770808,11,7,0,0,2
44275ICA,166613,75,834185,12122879,0,166671,15,2,0,24,24,0,0,2
44275CARAPONGO,668732,0,502008,28883541,24,0,5,1,668702,6,6,0,0,2
44275CHIMBOTENVA_N,459453,0,345434,12531399,24,0,7,1,459421,8,4,0,0,2
44275INDEPE_N,1246461,1,935236,88695063,0,0,16,4,1246442,43,32,3,228,1
44275PARAMONGA_N,2040854,0,1532562,56985367,24,0,38,1,2040791,15,7,1,72,1
44275TRUJILLO_N,3097040,0,2324528,95148350,24,0,7,1,3097008,10,4,0,0,2
44275POROMA,766427,0,576324,21358008,24,0,2,1,766400,6,4,0,0,2
44275SOCABAYA_REP_N,795265,0,597230,22668282,24,0,2,3,795236,9,2,0,0,2
44276TOCACHE_N,1103120,0,828654,30299801,24,0,3,0,1103093,3,3,0,0,2
44276CHILCA1,208318,43,1047750,7127259,0,208304,57,0,0,42,2,0,0,2
44276CARABAYLLO,257782,315,1293440,7618012,0,258025,72,0,0,18,3,0,0,2
44276PARAGSHA_NVA,181630,361,912020,8859028,0,181971,9,11,0,5,5,0,0,2
44276HUANUCO_N,1356287,0,1018416,36908149,24,0,6,0,1356257,6,2,0,0,2
44276PIURA2_N,2849328,0,2138906,79848093,24,0,14,0,2849290,13,13,0,0,2
44276ICA,154128,92,772185,14009800,0,154193,27,0,0,3,3,0,0,2
44276CARAPONGO,715920,0,537486,30382122,24,0,9,0,715887,18,4,0,0,2
44276CHIMBOTENVA_N,463049,0,348328,12644968,24,0,13,0,463012,7,1,0,0,2
44276INDEPE_N,1289019,1,967702,87906167,0,0,51,5,1288964,16,9,0,0,2
44276AGUAYTIA_N,134894,0,102420,24729566,24,0,5,13,134852,3,3,8,1136,2
44276PARAMONGA_N,2353098,0,1766692,66795727,24,0,33,1,2353040,11,5,0,0,2
44276TRUJILLO_N,3157491,0,2370022,96055623,24,0,13,0,3157454,7,4,0,0,2
44277SOCABAYA_N,1955753,0,1467804,63351009,24,0,3,0,1955726,2,2,1,408,1
44277TRUJILLNUEV,141676,1469,725680,11709821,0,143142,3,0,0,5,5,0,0,2
44277LANINA_N,2627632,0,1972464,77848546,24,0,3,0,2627605,4,4,0,0,2
44277JULIACA_N,155377,0,117462,5715849,24,0,6,0,155347,4,1,0,0,2
44277MARCONA,5591206,0,4194542,215518440,24,0,5,0,5591177,3,2,0,0,2
44277HUANUCO_N,1439138,0,1080600,39177881,24,0,9,0,1439105,6,2,31,2205,2
44277PIURA2_N,3240775,0,2432594,91553893,24,0,17,0,3240734,46,42,0,0,2
44277ICA,155061,102,778145,13667447,0,155157,6,0,0,12,11,1,34,2
44277CARAPONGO,716707,0,538194,31595808,24,0,21,0,716662,11,8,0,0,2
44277CHIMBOTENVA_N,704511,0,529270,19373215,24,0,10,0,704477,18,10,0,0,2
44277INDEPE_N,1263465,0,947914,84378760,0,0,19,0,1263446,24,23,0,0,2
44277AGUAYTIA_N,145653,0,110728,24472677,23,0,9,20,145601,28,7,3,130,2
44277PARAMONGA_N,2539276,0,1906210,73054230,24,0,25,0,2539227,28,8,0,0,2
44278HUACHO,114414,200,574355,6637531,0,114607,5,2,0,6,3,1,4,1
44278VENTANILLA,200763,267,1006820,6684785,0,201015,15,0,0,5,1,0,0,2
44278SOCABAYA_N,1961100,0,1471992,63588119,24,0,5,4,1961067,6,6,0,0,2
44278TRUJILLNUEV,145272,1399,743105,11286026,0,146663,8,0,0,1,1,3,86,2
44278LANINA_N,2594474,0,1947646,76674864,24,0,7,0,2594443,8,8,0,0,2
44278MARCONA,5639980,0,4231120,214783262,24,0,7,0,5639949,9,1,0,0,2
44278PARAGSHA_NVA,187956,373,943845,9210429,0,188323,3,3,0,2,2,1,16,2
44278PIURA2_N,3427029,0,2572730,98530014,24,0,53,0,3426952,70,69,0,0,2
44278ICA,163985,103,821785,11783813,0,164059,27,2,0,9,9,1,56,2
44278CHIMBOTENVA_N,675633,2,507846,18533231,24,0,25,1,675585,24,13,1,64,2
44278INDEPE_N,1146410,0,860244,78363264,0,0,27,0,1146383,28,27,0,0,2
44278CHAVARRIA_N,927591,2,696736,26266022,24,0,7,0,927562,33,11,0,0,2
44278PARAMONGA_N,2467853,2,1853058,71386113,24,0,62,0,2467769,33,6,0,0,2
44278SOCABAYA_REP_N,974768,0,731844,28176299,24,0,3,0,974741,7,1,0,0,2
44279CHILCA1,207780,24,1039315,7340328,0,207797,7,0,0,2,2,0,0,2
44279SANNICOLAS,120400,3383,619135,1066532,0,123780,3,0,0,3,2,1,4,1
44279TRUJILLNUEV,153496,1303,782685,10065720,0,154785,6,8,0,5,5,2,104,2
44279LANINA_N,2483885,0,1864796,73260644,24,0,11,0,2483850,3,3,0,0,2
44279CARABAYLLO,246286,334,1235745,8416387,0,246570,50,0,0,38,1,2,12,1
44279PARAGSHA_NVA,183831,383,923190,8965866,0,184206,5,3,0,5,5,4,88,2
44279PIURA2_N,3131413,0,2351482,89207999,24,0,82,0,3131307,23,20,0,0,2
44279ICA,152423,81,764770,13077031,0,152486,16,2,0,30,30,1,7,2
44279CARAPONGO,657703,0,493728,28263171,24,0,5,1,657673,5,5,17,2299,2
44279CHIMBOTENVA_N,608210,0,457266,16674183,24,0,26,1,608159,34,14,0,0,2
44279INDEPE_N,1227695,0,921274,83628527,0,0,31,0,1227664,28,27,0,0,2
44279AGUAYTIA_N,153320,0,116478,29507168,24,0,3,21,153272,1,1,5,176,1
44279PARAMONGA_N,2347453,1,1762896,67837352,24,0,70,0,2347360,40,13,0,0,2
44279SOCABAYA_REP_N,926134,0,695518,26356081,24,0,10,0,926100,9,2,0,0,2
44280SANTUARIO,134439,0,702484,9127626,1439,132995,3,2,0,1,1,5,22,1
44280CALLALLI,51052,0,261353,3341669,288,50761,3,0,0,2,2,0,0,2
44280TRUJILLNUEV,155154,1420,793385,10827846,0,156558,8,8,0,1,1,0,0,2
44280LANINA_N,2573770,0,1932108,76147556,24,0,6,0,2573740,5,5,0,0,2
44280AUCAYACU_N,571424,0,429258,20168905,24,0,3,0,571397,25,20,0,0,2
44280MARCONA,5713691,1,4286768,210049073,24,0,33,0,5713635,19,5,0,0,2
44280PARAGSHA_NVA,182397,401,916365,8971635,0,182782,8,8,0,4,4,1,32,2
44280PIURA2_N,3383574,3,2539990,96658781,24,0,37,0,3383516,43,42,0,0,2
44280ICA,157755,98,794875,12564060,0,157785,66,2,0,12,12,0,0,2
44280CARAPONGO,593665,5,445844,26345274,23,0,9,21,593617,5,5,0,0,2
44280CHIMBOTENVA_N,705341,1,530268,19372132,24,0,40,0,705278,11,1,0,0,2
44280INDEPE_N,1204153,1,903686,82153041,0,0,36,0,1204118,44,43,0,0,2
44280PARAMONGA_N,2034788,1,1528594,58186738,24,0,83,0,2034682,13,6,0,0,2
44281SANNICOLAS,120527,3718,621820,1063470,0,124242,3,0,0,6,6,3,18,1
44281TRUJILLNUEV,156533,1391,797975,10995781,0,157920,4,0,0,5,5,1,42,2
44281AUCAYACU_N,541944,0,407552,19504430,24,0,32,0,541888,4,2,0,0,2
44281MARCONA,5650355,2,4239300,209065094,24,0,36,0,5650297,66,26,1,4,2
44281PARAGSHA_NVA,184402,373,926125,9080554,0,184768,7,0,0,5,5,3,48,2
44281HUANUCO_N,1394202,0,1046814,38064051,24,0,3,0,1394175,3,1,1,2,1
44281CARHUAMAYO,183033,120,916700,8586042,0,183143,10,0,0,7,1,1,2,1
44281PIURA2_N,3281850,0,2463824,93565979,24,0,50,0,3281776,16,9,0,0,2
44281ICA,169629,76,849235,11681107,0,169690,15,0,0,42,42,1,2,2
44281MOLLEPATA,2194528,2,1646732,63174918,24,0,3,3,2194500,21,21,9,21,1
44281CHIMBOTENVA_N,653162,0,490766,17905020,24,0,14,0,653124,12,3,0,0,2
44281INDEPE_N,1158777,0,869804,79211295,0,0,47,0,1158730,27,27,0,0,2
44281PARAMONGA_N,2223371,0,1669298,67306638,24,0,29,0,2223318,13,6,0,0,2
44282TOCACHE_N,831152,12,625754,22901629,23,0,6,28,831107,3,3,0,0,2
44282CHILCA1,207651,29,1038745,7372123,0,207673,5,2,0,43,6,0,0,2
44282SANNICOLAS,117063,4553,613035,1085308,0,121602,8,6,0,5,4,4,38,1
44282TRUJILLNUEV,154847,1460,790875,10940785,0,156295,8,4,0,5,5,0,0,2
44282YARABAMBA,4077009,0,3059050,205262625,24,0,3,1,4076981,1,1,0,0,2
44282MARCONA,5596028,1,4199724,204446382,24,0,115,2,5595888,54,14,0,0,2
44282HUANUCO_N,1429198,0,1073104,38918922,24,0,6,1,1429167,3,1,0,0,2
44282PIURA2_N,3405673,0,2556326,97005308,24,0,19,1,3405629,24,19,0,0,2
44282ICA,171829,85,861395,11187905,0,171867,45,2,0,27,27,1,106,2
44282CHIMBOTENVA_N,645044,0,484780,17663998,24,0,15,1,645004,12,6,1,60,2
44282INDEPE_N,1127804,0,846386,78044181,0,0,31,1,1127772,41,39,0,0,2
44282PARAMONGA_N,2220407,0,1667190,67515779,24,0,29,1,2220353,13,1,0,0,2
44283TOCACHE_N,913144,2,686600,25153802,24,0,8,0,913114,4,4,0,0,2
44283CHILCA1,208135,28,1044745,7217549,0,208098,65,0,0,22,1,0,0,2
44283TRUJILLNUEV,160507,1222,816705,11041978,0,161721,8,0,0,20,4,8,460,2
44283LANINA_N,2558873,0,1920948,75643242,24,0,3,0,2558846,2,2,0,0,2
44283MARCONA,5668726,2,4253986,207691682,24,0,97,0,5668607,47,9,0,0,2
44283PARAGSHA_NVA,188177,384,945005,9239530,0,188558,3,0,0,9,9,5,118,2
44283HUANUCO_N,1390071,0,1043760,37875815,24,0,6,0,1390041,6,2,1,340,1
44283PIURA2_N,3244688,0,2435700,92278927,24,0,27,0,3244637,38,32,1,72,1
44283ICA,152054,75,762305,13833362,0,152098,29,2,0,30,30,0,0,2
44283CHIMBOTENVA_N,664360,0,499284,18215934,24,0,15,3,664318,28,13,0,0,2
44283INDEPE_N,1264105,0,948788,86027753,0,0,44,0,1264061,30,30,1,4,1
44283CHAVARRIA_N,970904,0,729656,27523116,24,0,11,0,970869,4,2,1,5,1
44283PUCALLPA_N,200644,0,151326,40772543,24,0,3,0,200617,13,8,0,0,2
44283AGUAYTIA_N,158524,0,119730,30535119,24,0,3,0,158497,7,7,0,0,2
44283PARAMONGA_N,2242666,0,1683734,67742145,24,0,29,0,2242613,25,3,1,2,1
44284SANNICOLAS,109901,8802,593860,1221424,0,118700,3,0,0,10,8,5,54,1
44284TRUJILLNUEV,153845,1416,788480,10856103,0,155186,42,33,0,4,4,0,0,2
44284MARCONA,5630202,1,4224956,207194146,24,0,89,0,5630090,57,10,0,0,2
44284PARAGSHA_NVA,180470,504,907815,8734969,0,180953,12,9,0,1,1,1,32,2
44284PIURA2_N,3267453,0,2452800,93612434,24,0,41,1,3267387,30,27,0,0,2
44284ICA,150848,74,755585,13428090,0,150889,33,0,0,33,33,0,0,2
44284CARAPONGO,650320,0,488140,29764477,24,0,3,1,650292,5,3,1,124,2
44284CHIMBOTENVA_N,656302,0,493358,17991338,24,0,31,1,656246,8,6,0,0,2
44284INDEPE_N,1257286,0,943614,84689626,0,0,35,1,1257250,33,31,0,0,2
44284CHAVARRIA_N,869079,1,653210,24739339,24,0,5,9,869042,6,1,0,0,2
44284COMBAPATA_N,4017486,0,3014088,130881351,24,0,3,0,4017459,10,2,0,0,2
44284PARAMONGA_N,2043053,0,1534586,59055614,24,0,55,1,2042973,12,7,0,0,2
44284CHICLAYO_N,1807907,0,1357018,63969898,24,0,3,1,1807879,18,3,0,0,2
44285SOCABAYA_N,1989383,0,1493142,62990761,24,0,3,0,1989356,2,2,0,0,2
44285TRUJILLNUEV,149411,1405,762840,11030754,0,150809,7,0,0,2,2,0,0,2
