id_rtufecha,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_periodic,scan_type_idle,scan_type_command,scan_type_init,scan_type_spont,enviados,fallidos,alarmas,duracion_int,tipo_evento
44244MARCONA,5502807,0,4128664,209813698,24,0,34,0,5502749,1,1,1,18,1
44244PARAGSHA_NVA,180884,395,908570,8941959,0,181259,3,17,0,1,1,9,33978,2
44244HUANUCO_N,1367378,0,1026666,37255847,24,0,3,0,1367351,3,1,4,98,1
44244PIURA2_N,3759934,0,2822252,111814983,24,0,65,0,3759845,79,76,1,18,1
44244ICA,166006,72,831600,12278879,0,166062,16,0,0,6,6,2,242,2
44244CHIMBOTENVA_N,747298,0,561342,20592460,24,0,9,0,747265,7,5,1,18,2
44244INDEPE_N,885619,0,664296,37055683,0,0,3,0,885616,20,4,15,37141,2
44244AGUAYTIA_N,453464,0,340920,94789194,24,0,3,0,453437,9,4,3,108,2
44244PARAMONGA_N,2459764,0,1846404,69597735,24,0,15,0,2459725,14,5,1,18,1
44245SOCABAYA_N,1888341,0,1417548,61196697,24,0,15,6,1888296,6,4,0,0,2
44245TRUJILLNUEV,147263,1417,752225,11144630,0,148669,3,8,0,6,6,0,0,2
44245MARCONA,5579862,0,4185992,213553941,24,0,4,1,5579833,0,1,0,0,2
44245CARABAYLLO,240575,283,1206905,8895063,0,240819,35,4,0,28,2,0,0,2
44245HUANUCO_N,1386838,0,1041398,37686679,24,0,6,2,1386806,3,1,21,136,1
44245PIURA2_N,3865108,0,2901682,113944920,24,0,83,2,3864999,76,67,0,0,2
44245TINGOM_ETS_N,394937,0,297408,30113782,24,0,13,2,394898,4,1,0,0,2
44245ICA,165412,71,831625,12235703,0,165470,9,4,0,6,6,0,0,2
44245CHIMBOTENVA_N,660401,0,496200,18143301,24,0,10,2,660365,7,5,0,0,2
44245INDEPE_N,874568,0,656102,37191388,0,0,3,5,874560,18,1,11,327,1
44245PUCALLPA_N,210403,0,158872,43055205,24,0,17,2,210360,9,4,0,0,2
44245AGUAYTIA_N,450659,0,339268,94573519,24,0,21,7,450607,12,3,0,0,2
44245PARAMONGA_N,2396257,0,1799102,67681683,24,0,33,2,2396198,11,3,0,0,2
44245PAPUJUNE,37505,0,28398,1181153,11,0,1,6,37487,5,5,9,30321,2
44246TRUJILLNUEV,138597,1428,709630,11660419,0,140016,9,0,0,4,4,0,0,2
44246MARCONA,5706652,0,4281176,215498295,24,0,5,0,5706623,0,1,0,0,2
44246CARABAYLLO,232025,402,1167390,9268401,0,232388,39,0,0,29,1,0,0,2
44246PARAGSHA_NVA,181795,413,913395,8941757,0,182205,3,0,0,1,1,2,32,2
44246HUANUCO_N,1415980,0,1063210,38499148,24,0,7,0,1415949,1,1,0,0,2
44246PIURA2_N,4096905,0,3075502,121479718,24,0,79,0,4096802,45,44,0,0,2
44246ICA,166093,89,834025,12209757,0,166170,12,0,0,13,13,0,0,2
44246CHIMBOTENVA_N,734843,0,552016,20239309,24,0,10,0,734809,6,4,0,0,2
44246INDEPE_N,873548,0,655308,36472569,0,0,3,3,873542,12,1,1,80,1
44246PARAMONGA_N,2426715,0,1821772,68522251,24,0,25,0,2426666,13,3,0,0,2
44247CHILCA1,210310,33,1052270,6928272,0,210333,10,0,0,7,1,0,0,2
44247HUACHO,116870,189,586480,6591668,0,117056,3,0,0,20,5,1,18,2
44247TRUJILLNUEV,142463,1333,728215,11336959,0,143789,7,0,0,6,6,1,102,2
44247AUCAYACU_N,589055,0,442434,20531959,24,0,3,0,589028,1,1,0,0,2
44247MARCONA,5653576,0,4241296,214395826,24,0,4,0,5653548,4,3,0,0,2
44247PARAGSHA_NVA,191496,352,961330,9191223,0,191841,4,3,0,5,5,5,126,2
44247PIURA2_N,3986028,2,2992030,117565710,24,0,54,0,3985952,33,28,0,0,2
44247PLANICIE,205822,259,1031800,6608366,0,206078,3,0,0,35,4,2,1570,2
44247ICA,171691,86,860330,11325049,0,171751,26,0,0,28,27,1,240,2
44247CHIMBOTENVA_N,683180,0,513228,18773846,24,0,9,0,683147,7,5,0,0,2
44247INDEPE_N,801980,0,601566,33676290,0,0,3,0,801977,22,2,4,130,1
44247REQUE,1819134,0,1365302,55947963,24,0,3,2,1819105,40,2,0,0,2
44247PARAMONGA_N,2391794,1,1795740,67551802,24,0,37,0,2391734,6,3,0,0,2
