Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96
01/16/21,16:34:01,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:01,,,03042048,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-RS,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:02,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:02,,,03042048,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-RS,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:04,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:04,,,03042050,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-TR,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:06,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:06,,,03042050,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-TR,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:06,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:06,,,03042050,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-TR,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:06,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:06,,,01033075,OROYA,NUEVA,220,,,,,,,,,,,,,,,,,,,L-2224,FP1,ERR,SYNC,TIME,,,,,,,,,CAMBIO,DE,ESTADO,,,,,,,,,,,,,,,,,,,,,,,,,,INACTIVO,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:11,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:11,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:12,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:12,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,64.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:29,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:29,,,03042050,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-TR,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:29,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:29,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:29,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:29,,,03061504,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_B,TENSION,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:30,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:30,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,64.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:30,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:30,,,03042050,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-TR,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:30,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:30,,,03061504,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_B,TENSION,,,,,,,,,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,64.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:32,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:32,,,03061504,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_B,TENSION,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:34,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:34,,,03061504,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_B,TENSION,,,,,,,,,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,64.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:35,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:35,,,03042049,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-ST,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:36,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:36,,,03042049,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-ST,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:36,rep1sca01,alrm_server[2680]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:36,,,41069023,CHIMBOTE,NVA,220,,,,,,,,,,,,,,,,,,AT84-523,SUBIR/BAJAR,TAPS,,,,,,,,"jbenites@rep1hmi02,",Operator,Control,,,,,LOWER,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:46,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:46,,,03042048,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-RS,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:47,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:47,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:48,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:48,,,03042048,HUANCAVEL,10,,,,,,,,,,,,,,,,,,,,,,T9-261,PL3,TENSION,V-RS,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:48,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:34:48,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,64.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:49,rep1sca01,alrm_server[2680]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:49,,,,,,,,,,,,State,Estimator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State,Estimator,converged,with,violations,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:53,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:34:53,,,03038014,LA,NIÑA,220,,,,,,,,,,,,,,,,,,,,,,L-2239,CORRIENTE,IT,,,,,,,,,,,,,,RETORNO,DE,MEDIDA,CONGELADA,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:56,rep1sca01,alrm_server[2680]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-DEL:CLASS,,01/16/21,16:34:56,,,,,,,,,,,,FEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIMBOTE_N_CHANNEL_GROUP,36.CHIMBOTE2_1A,Unable,to,open,socket,,,,,,,,,,,,,,,,,,,,FAILED,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:34:56,rep1sca01,alrm_server[2680]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-DEL:CLASS,,01/16/21,16:34:56,,,,,,,,,,,,FEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIMBOTE_N_CHANNEL_GROUP,36.CHIMBOTE2_2A,Channel,now,online,,,,,,,,,,,,,,,,,,,,,,,ONLINE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:01,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:35:01,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:02,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:35:02,,,03061496,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_A,TENSION,,,,,,,,,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,64.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:04,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:35:04,,,03061504,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_B,TENSION,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:06,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:35:06,,,03061504,ICA,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,BARRA_B,TENSION,,,,,,,,,,,,,,,,,,LIMITE,SUPERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,64.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:07,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:35:07,,,01081901,CHICLAY,OEST,220,,,,,,,,,,,,,,,,,,L-2239,SEL451,52,FLL,MECANICA,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,INACTIVO,,,,,,,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:11,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:35:11,,,03011F85,AZANGARO,22.9,,,,,,,,,,,,,,,,,,,,,B1,TENSION,,,,,,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:12,rep1sca01,osi_alarm_check[2750]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:RTN,,,,01/16/21,16:35:12,,,03011F85,AZANGARO,22.9,,,,,,,,,,,,,,,,,,,,,B1,TENSION,,,,,,,,,,,,,,,,,,,,,,,LIMITE,INFERIOR,1,EXCEDIDO,,,,,,,,,,,,,,,,,,,,22.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/16/21,16:35:25,rep1sca01,scada_alarm[2783]:,rep1sca01,,,OSI_SYSTEM,,,,,,AUTO-ACK:CLASS,,01/16/21,16:35:25,,,03011F85,AZANGARO,22.9,,,,,,,,,,,,,,,,,,,,,B1,TENSION,,,,,,,,,,,,,,,,,,,,,,,RETORNO,A,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
